Epochs,Loss,Accuracy
0,0.9633967280387878,0.2071
1,0.9167476892471313,0.28042
2,0.8816289901733398,0.17108
3,0.8651689291000366,0.21256
4,0.867348849773407,0.14754
5,0.864104688167572,0.1873
6,0.8598495125770569,0.13812
7,0.8427720069885254,0.17736
8,0.8474008440971375,0.11222
9,0.8237110376358032,0.15074
10,0.8123676180839539,0.11042
11,0.8153131008148193,0.14468
12,0.8452504873275757,0.10498
13,0.8329143524169922,0.14332
14,0.7950931787490845,0.09084
15,0.8090230822563171,0.13942
16,0.7987983226776123,0.08476
17,0.8043167591094971,0.12996
18,0.8166673183441162,0.0822
19,0.8033298254013062,0.12862
